t_host,t_device_ms,dt_prev_s,cmd_id,event
1765882687.6184409,508437,1.03,CMD_1765882258918,CMD_RECEIVED
1765882688.636821,509467,1.03,CMD_1765882259017,CMD_RECEIVED
1765882689.6642404,510497,1.03,CMD_1765882259118,CMD_RECEIVED
1765882690.6903088,511527,1.03,CMD_1765882259217,CMD_RECEIVED
1765882692.0073555,512558,1.031,CMD_1765882259317,CMD_RECEIVED
1765882692.7529986,513589,1.031,CMD_1765882259417,CMD_RECEIVED
1765882693.955497,514619,1.03,CMD_1765882259517,CMD_RECEIVED
1765882694.9780273,515649,1.03,CMD_1765882259618,CMD_RECEIVED
1765882695.845689,516679,1.03,CMD_1765882259717,CMD_RECEIVED
1765882696.8695924,517710,1.031,CMD_1765882259817,CMD_RECEIVED
1765882697.91333,518742,1.032,CMD_1765882259904,CMD_RECEIVED
1765882699.0727742,519772,1.03,CMD_1765882260004,CMD_RECEIVED
1765882700.1971436,520802,1.03,CMD_1765882260101,CMD_RECEIVED
1765882701.0158713,521832,1.03,CMD_1765882260204,CMD_RECEIVED
1765882702.028999,522862,1.03,CMD_1765882260317,CMD_RECEIVED
1765882703.1749969,523893,1.031,CMD_1765882260416,CMD_RECEIVED
1765882704.1922498,524923,1.03,CMD_1765882260518,CMD_RECEIVED
1765882705.1228774,525953,1.03,CMD_1765882260617,CMD_RECEIVED
1765882706.163713,526983,1.03,CMD_1765882260704,CMD_RECEIVED
1765882707.2625136,528014,1.031,CMD_1765882260804,CMD_RECEIVED
1765882708.3899076,529044,1.03,CMD_1765882260917,CMD_RECEIVED
1765882709.4132307,530074,1.03,CMD_1765882261017,CMD_RECEIVED
1765882710.5366676,531104,1.03,CMD_1765882261117,CMD_RECEIVED
1765882711.4612885,532134,1.03,CMD_1765882261217,CMD_RECEIVED
1765882712.5842025,533164,1.03,CMD_1765882261316,CMD_RECEIVED
1765882713.6078238,534194,1.03,CMD_1765882261413,CMD_RECEIVED
1765882714.3937745,535225,1.031,CMD_1765882261517,CMD_RECEIVED
1765882715.6554465,536255,1.03,CMD_1765882261616,CMD_RECEIVED
1765882716.6790051,537285,1.03,CMD_1765882261717,CMD_RECEIVED
1765882717.6577415,538315,1.03,CMD_1765882261816,CMD_RECEIVED
1765882718.6494508,539345,1.03,CMD_1765882261917,CMD_RECEIVED
1765882719.565423,540375,1.03,CMD_1765882262017,CMD_RECEIVED
1765882720.58525,541406,1.031,CMD_1765882262104,CMD_RECEIVED
1765882721.808047,542436,1.03,CMD_1765882262214,CMD_RECEIVED
1765882722.6283102,543466,1.03,CMD_1765882262317,CMD_RECEIVED
1765882723.6548903,544496,1.03,CMD_1765882262415,CMD_RECEIVED
1765882724.6819546,545527,1.031,CMD_1765882262504,CMD_RECEIVED
1765882725.997015,546557,1.03,CMD_1765882262604,CMD_RECEIVED
1765882726.9498656,547587,1.03,CMD_1765882262704,CMD_RECEIVED
1765882728.044803,548617,1.03,CMD_1765882262805,CMD_RECEIVED
1765882728.9717474,549647,1.03,CMD_1765882262917,CMD_RECEIVED
1765882730.0713332,550677,1.03,CMD_1765882263013,CMD_RECEIVED
1765882731.1144183,551707,1.03,CMD_1765882263117,CMD_RECEIVED
1765882732.042306,552737,1.03,CMD_1765882263216,CMD_RECEIVED
1765882732.9226296,553768,1.031,CMD_1765882263317,CMD_RECEIVED
1765882734.184948,554799,1.031,CMD_1765882263404,CMD_RECEIVED
1765882735.2095315,555829,1.03,CMD_1765882263504,CMD_RECEIVED
1765882736.1321514,556859,1.03,CMD_1765882263603,CMD_RECEIVED
1765882737.0601451,557889,1.03,CMD_1765882263717,CMD_RECEIVED
1765882738.0834255,558919,1.03,CMD_1765882263815,CMD_RECEIVED
1765882739.1087074,559949,1.03,CMD_1765882263916,CMD_RECEIVED
1765882740.1466296,560980,1.031,CMD_1765882264018,CMD_RECEIVED
1765882741.1586425,562010,1.03,CMD_1765882264116,CMD_RECEIVED
1765882742.204847,563042,1.032,CMD_1765882264217,CMD_RECEIVED
1765882743.410487,564072,1.03,CMD_1765882264318,CMD_RECEIVED
1765882744.5247998,565102,1.03,CMD_1765882264418,CMD_RECEIVED
1765882745.2812397,566132,1.03,CMD_1765882264517,CMD_RECEIVED
1765882746.6744454,567163,1.031,CMD_1765882264616,CMD_RECEIVED
1765882747.3491957,568193,1.03,CMD_1765882264717,CMD_RECEIVED
1765882748.6195767,569224,1.031,CMD_1765882264804,CMD_RECEIVED
1765882749.6458795,570254,1.03,CMD_1765882264917,CMD_RECEIVED
1765882750.436369,571285,1.031,CMD_1765882265017,CMD_RECEIVED
1765882751.4751568,572316,1.031,CMD_1765882265115,CMD_RECEIVED
1765882752.501537,573346,1.03,CMD_1765882265215,CMD_RECEIVED
1765882753.549792,574377,1.031,CMD_1765882265316,CMD_RECEIVED
1765882754.5646534,575407,1.03,CMD_1765882265418,CMD_RECEIVED
1765882755.8264468,576437,1.03,CMD_1765882265515,CMD_RECEIVED
1765882756.6354134,577467,1.03,CMD_1765882265605,CMD_RECEIVED
1765882757.6435688,578497,1.03,CMD_1765882265715,CMD_RECEIVED
1765882758.8603024,579527,1.03,CMD_1765882265816,CMD_RECEIVED
1765882759.9833796,580557,1.03,CMD_1765882265916,CMD_RECEIVED
1765882760.8094964,581587,1.03,CMD_1765882266004,CMD_RECEIVED
1765882761.930261,582618,1.031,CMD_1765882266104,CMD_RECEIVED
1765882762.9539952,583648,1.03,CMD_1765882266201,CMD_RECEIVED
1765882763.8210127,584679,1.031,CMD_1765882266301,CMD_RECEIVED
1765882764.8553107,585710,1.031,CMD_1765882266401,CMD_RECEIVED
1765882766.1256993,586740,1.03,CMD_1765882266503,CMD_RECEIVED
1765882767.0491965,587770,1.03,CMD_1765882266604,CMD_RECEIVED
1765882768.073935,588800,1.03,CMD_1765882266704,CMD_RECEIVED
1765882768.9952,589830,1.03,CMD_1765882266818,CMD_RECEIVED
1765882770.120342,590860,1.03,CMD_1765882266917,CMD_RECEIVED
1765882771.032519,591890,1.03,CMD_1765882267018,CMD_RECEIVED
1765882772.2703884,592920,1.03,CMD_1765882267118,CMD_RECEIVED
1765882773.0958953,593951,1.031,CMD_1765882267218,CMD_RECEIVED
1765882774.125564,594981,1.03,CMD_1765882267317,CMD_RECEIVED
1765882775.1545022,596011,1.03,CMD_1765882267403,CMD_RECEIVED
1765882776.1884751,597043,1.032,CMD_1765882267501,CMD_RECEIVED
1765882777.4894857,598073,1.03,CMD_1765882267601,CMD_RECEIVED
1765882778.2448363,599103,1.03,CMD_1765882267701,CMD_RECEIVED
1765882779.3348231,600134,1.031,CMD_1765882267804,CMD_RECEIVED
1765882780.5606475,601164,1.03,CMD_1765882267917,CMD_RECEIVED
1765882781.3386266,602194,1.03,CMD_1765882268017,CMD_RECEIVED
1765882782.5078437,603226,1.032,CMD_1765882268116,CMD_RECEIVED
1765882783.53166,604256,1.03,CMD_1765882268217,CMD_RECEIVED
1765882784.5568795,605286,1.03,CMD_1765882268316,CMD_RECEIVED
1765882785.4780838,606316,1.03,CMD_1765882268415,CMD_RECEIVED
1765882786.5099554,607347,1.031,CMD_1765882268509,CMD_RECEIVED
1765882787.5342808,608377,1.03,CMD_1765882268616,CMD_RECEIVED
1765882788.753664,609407,1.03,CMD_1765882268704,CMD_RECEIVED
1765882789.6080527,610438,1.031,CMD_1765882268816,CMD_RECEIVED
1765882790.6557474,611469,1.031,CMD_1765882268904,CMD_RECEIVED
1765882791.6382003,612501,1.032,CMD_1765882269017,CMD_RECEIVED
1765882792.6689239,613533,1.032,CMD_1765882269117,CMD_RECEIVED
1765882793.881559,614563,1.03,CMD_1765882269217,CMD_RECEIVED
1765882794.996372,615593,1.03,CMD_1765882269317,CMD_RECEIVED
1765882795.761426,616624,1.031,CMD_1765882269404,CMD_RECEIVED
1765882796.9440975,617654,1.03,CMD_1765882269518,CMD_RECEIVED
1765882797.833201,618684,1.03,CMD_1765882269616,CMD_RECEIVED
1765882798.853357,619714,1.03,CMD_1765882269704,CMD_RECEIVED
1765882799.8819518,620745,1.031,CMD_1765882269817,CMD_RECEIVED
1765882801.0585508,621775,1.03,CMD_1765882269917,CMD_RECEIVED
1765882801.9691696,622805,1.03,CMD_1765882270017,CMD_RECEIVED
1765882803.0126436,623836,1.031,CMD_1765882270116,CMD_RECEIVED
1765882804.0654912,624866,1.03,CMD_1765882270216,CMD_RECEIVED
1765882805.0398407,625896,1.03,CMD_1765882270317,CMD_RECEIVED
1765882806.0660725,626926,1.03,CMD_1765882270416,CMD_RECEIVED
1765882807.0927563,627957,1.031,CMD_1765882270517,CMD_RECEIVED
1765882808.124627,628988,1.031,CMD_1765882270614,CMD_RECEIVED
1765882809.3383224,630018,1.03,CMD_1765882270717,CMD_RECEIVED
1765882810.3628411,631048,1.03,CMD_1765882270814,CMD_RECEIVED
1765882811.2121701,632079,1.031,CMD_1765882270916,CMD_RECEIVED
1765882812.40914,633109,1.03,CMD_1765882271015,CMD_RECEIVED
1765882813.4377213,634139,1.03,CMD_1765882271114,CMD_RECEIVED
1765882814.3033118,635169,1.03,CMD_1765882271213,CMD_RECEIVED
1765882815.586762,636200,1.031,CMD_1765882271317,CMD_RECEIVED
1765882816.3642485,637231,1.031,CMD_1765882271413,CMD_RECEIVED
1765882817.4079988,638261,1.03,CMD_1765882271518,CMD_RECEIVED
1765882818.4485343,639291,1.03,CMD_1765882271612,CMD_RECEIVED
1765882819.4741597,640321,1.03,CMD_1765882271717,CMD_RECEIVED
1765882820.4982755,641351,1.03,CMD_1765882271809,CMD_RECEIVED
1765882821.5262532,642381,1.03,CMD_1765882271904,CMD_RECEIVED
1765882822.573438,643412,1.031,CMD_1765882272010,CMD_RECEIVED
1765882823.86825,644442,1.03,CMD_1765882272117,CMD_RECEIVED
1765882824.8252504,645472,1.03,CMD_1765882272210,CMD_RECEIVED
1765882825.7110825,646503,1.031,CMD_1765882272318,CMD_RECEIVED
1765882826.6648533,647533,1.03,CMD_1765882272413,CMD_RECEIVED
1765882827.7124746,648565,1.032,CMD_1765882272516,CMD_RECEIVED
1765882828.8851106,649595,1.03,CMD_1765882272604,CMD_RECEIVED
1765882830.1114326,650626,1.031,CMD_1765882272711,CMD_RECEIVED
1765882830.943821,651656,1.03,CMD_1765882272819,CMD_RECEIVED
1765882831.9561234,652686,1.03,CMD_1765882272915,CMD_RECEIVED
1765882832.9869683,653716,1.03,CMD_1765882273004,CMD_RECEIVED
1765882833.8739054,654747,1.031,CMD_1765882273116,CMD_RECEIVED
1765882834.9110043,655778,1.031,CMD_1765882273204,CMD_RECEIVED
1765882835.949686,656809,1.031,CMD_1765882273304,CMD_RECEIVED
1765882836.9854214,657839,1.03,CMD_1765882273403,CMD_RECEIVED
1765882838.2027233,658869,1.03,CMD_1765882273530,CMD_RECEIVED
1765882839.0314724,659900,1.031,CMD_1765882273618,CMD_RECEIVED
1765882840.0584252,660931,1.031,CMD_1765882273717,CMD_RECEIVED
1765882841.1014614,661962,1.031,CMD_1765882273804,CMD_RECEIVED
1765882842.4553144,662992,1.03,CMD_1765882273904,CMD_RECEIVED
